build_failed,NC,src_churn,test_churn,ConfigF,FilesA,FilesD,FilesM,srcF,docF,otherF,NUC,elapsed_days,same_committer,proj_fail_rate_history,proj_fail_rate_recent,comm_fail_rate_history,comm_fail_rate_recent,NDEV,prev_build_result,day_week,classif_build,TFC,BMsg,maintC,fixC,buildF,mergeC,NS,ND,EXP,entropy,Assertion Roulette,Conditional Test Logic,Constructor Initialization,CyclomaticComplexity,DataClass,DeadCode,Duplicate Assert,DuplicatedCode,Eager Test,EmptyTest,Exception Catching Throwing,ExcessiveParameterList,General Fixture,GodClass,IgnoredTest,Lazy Test,LooseCoupling,Magic Number Test,Mystery Guest,NPathComplexity,Print Statement,Redundant Assertion,Resource Optimism,Sensitive Equality,Sleepy Test,TooManyFields,TooManyMethods,Unknown Test
0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.2417962,0.001727116,0.206185567,0.0,1.0,0.0,6.0,2.0,1.0,3.307277441,0.0,1.0,0.0,0.0,1.0,1.0,97.0,0.0,25.0,21.0,25.0,62.0,73.0,61.0,21.0,19.0,4.0,0.0,25.0,26.0,19.0,20.0,1.0,7.0,0.0,25.0,0.0,26.0,0.0,0.0,0.0,9.0,25.0,18.0,22.0,22.0
0,2.0,60.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.240963855,0.00172117,0.204081633,0.0,1.0,0.0,6.0,0.0,1.0,7.645872126,0.0,0.0,0.0,1.0,1.0,1.0,98.0,0.0,25.0,25.0,25.0,62.0,73.0,60.0,25.0,19.0,9.0,0.0,24.0,26.0,22.0,20.0,10.0,9.0,0.0,25.0,0.0,26.0,0.0,0.0,0.0,20.0,20.0,18.0,22.0,23.0
0,1.0,6.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.240549828,0.001718213,0.265306122,0.6,1.0,0.0,6.0,1.0,1.0,5.214594808,0.0,0.0,0.0,0.0,1.0,1.0,98.0,0.0,25.0,24.0,23.0,63.0,73.0,59.0,23.0,20.0,9.0,0.0,25.0,26.0,12.0,20.0,16.0,9.0,0.0,25.0,0.0,27.0,0.0,0.0,0.0,15.0,24.0,18.0,22.0,19.0
0,1.0,16.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,2.0,0.0,0.0,0.241025641,0.001709402,0.202020202,0.0,1.0,0.0,6.0,2.0,1.0,8.606807306,0.0,0.0,0.0,0.0,1.0,2.0,99.0,1.0,24.0,23.0,23.0,62.0,73.0,60.0,23.0,19.0,8.0,0.0,22.0,26.0,21.0,20.0,2.0,8.0,0.0,23.0,0.0,26.0,0.0,0.0,0.0,4.0,11.0,18.0,22.0,25.0
1,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.240614334,0.001706485,0.2,0.0,1.0,0.0,6.0,2.0,1.0,5.267011893,0.0,1.0,0.0,0.0,1.0,1.0,100.0,0.0,24.0,24.0,25.0,62.0,73.0,61.0,24.0,19.0,9.0,0.0,24.0,26.0,24.0,20.0,17.0,9.0,0.0,24.0,0.0,26.0,0.0,0.0,0.0,24.0,24.0,18.0,22.0,24.0
0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.241086587,0.001697793,0.207920792,0.0,1.0,0.0,6.0,2.0,1.0,6.011539927,0.0,1.0,0.0,0.0,1.0,1.0,101.0,0.0,23.0,23.0,25.0,62.0,73.0,61.0,19.0,19.0,8.0,0.0,23.0,26.0,24.0,20.0,17.0,8.0,0.0,24.0,0.0,26.0,0.0,0.0,0.0,12.0,23.0,18.0,22.0,17.0
0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.240270728,0.001692047,0.205882353,0.0,1.0,0.0,6.0,2.0,1.0,3.947773977,0.0,1.0,0.0,0.0,1.0,1.0,102.0,0.0,25.0,24.0,24.0,62.0,73.0,61.0,25.0,19.0,9.0,0.0,24.0,26.0,18.0,20.0,25.0,9.0,0.0,25.0,0.0,26.0,0.0,0.0,0.0,24.0,24.0,18.0,22.0,25.0
0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,3.0,0.0,2.0,0.0,0.0,0.240740741,0.001683502,0.262626263,0.6,1.0,0.0,6.0,1.0,1.0,5.493744682,0.0,0.0,0.0,0.0,2.0,2.0,99.0,1.1051024,25.0,18.0,25.0,62.0,73.0,60.0,25.0,19.0,8.0,0.0,25.0,26.0,23.0,20.0,22.0,8.0,0.0,24.0,0.0,26.0,0.0,0.0,0.0,18.0,24.0,18.0,22.0,22.0
0,1.0,48.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,2.0,0.0,0.0,0.240336134,0.001680672,0.203883495,0.0,1.0,0.0,6.0,1.0,1.0,6.575217541,0.0,0.0,0.0,0.0,2.0,2.0,103.0,1.5713952,25.0,25.0,24.0,62.0,73.0,60.0,25.0,19.0,8.0,0.0,25.0,26.0,18.0,20.0,22.0,8.0,0.0,24.0,0.0,26.0,0.0,0.0,0.0,23.0,25.0,18.0,22.0,23.0
0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.239932886,0.001677852,0.201923077,0.0,1.0,0.0,6.0,3.0,0.0,3.736952483,0.0,0.0,0.0,1.0,0.0,0.0,104.0,0.0,25.0,25.0,24.0,62.0,73.0,61.0,23.0,19.0,9.0,0.0,25.0,26.0,24.0,20.0,6.0,9.0,0.0,22.0,0.0,26.0,0.0,0.0,0.0,11.0,25.0,18.0,22.0,22.0
0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.239530988,0.001675042,0.2,0.0,1.0,0.0,6.0,2.0,0.0,3.774676867,0.0,0.0,0.0,1.0,0.0,0.0,105.0,0.0,25.0,24.0,24.0,62.0,73.0,61.0,24.0,19.0,8.0,0.0,24.0,26.0,24.0,20.0,13.0,9.0,0.0,25.0,0.0,26.0,0.0,0.0,0.0,24.0,24.0,18.0,22.0,24.0
0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.239130435,0.001672241,0.198113208,0.0,1.0,0.0,6.0,2.0,0.0,4.754711714,0.0,0.0,0.0,1.0,0.0,0.0,106.0,0.0,24.0,23.0,23.0,62.0,73.0,61.0,23.0,19.0,7.0,0.0,23.0,26.0,24.0,20.0,2.0,8.0,0.0,24.0,0.0,26.0,0.0,0.0,0.0,23.0,23.0,18.0,22.0,25.0
1,1.0,64.0,0.0,0.0,1.0,0.0,2.0,3.0,0.0,0.0,1.0,0.0,0.0,0.220289855,0.001449275,0.256880734,0.6,1.0,0.0,6.0,7.0,1.0,5.514674969,0.0,0.0,0.0,0.0,2.0,3.0,109.0,0.8864397,25.0,25.0,24.0,64.0,76.0,67.0,23.0,19.0,8.0,0.0,25.0,26.0,16.0,20.0,10.0,8.0,0.0,24.0,0.0,26.0,0.0,0.0,0.0,25.0,24.0,19.0,22.0,21.0
0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.221418234,0.001447178,0.170731707,0.0,1.0,1.0,6.0,2.0,1.0,4.660312073,0.0,1.0,0.0,0.0,1.0,1.0,123.0,0.0,25.0,24.0,22.0,64.0,76.0,63.0,25.0,19.0,8.0,0.0,25.0,26.0,17.0,20.0,12.0,8.0,0.0,25.0,0.0,26.0,0.0,0.0,0.0,24.0,23.0,19.0,22.0,18.0
0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.221098266,0.001445087,0.263636364,0.6,1.0,0.0,6.0,1.0,1.0,6.626806214,0.0,0.0,0.0,0.0,1.0,1.0,110.0,0.0,24.0,23.0,24.0,63.0,73.0,63.0,23.0,19.0,6.0,0.0,24.0,26.0,21.0,20.0,17.0,6.0,0.0,24.0,0.0,26.0,0.0,0.0,0.0,6.0,24.0,18.0,22.0,25.0
0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.220779221,0.001443001,0.192307692,0.2,1.0,0.0,6.0,3.0,0.0,5.163062613,0.0,0.0,0.0,1.0,0.0,0.0,52.0,0.0,24.0,22.0,25.0,64.0,76.0,63.0,24.0,19.0,9.0,0.0,23.0,26.0,19.0,20.0,13.0,9.0,0.0,24.0,0.0,26.0,0.0,0.0,0.0,22.0,22.0,19.0,22.0,22.0
0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.220461095,0.001440922,0.188679245,0.2,1.0,0.0,6.0,3.0,0.0,5.905024371,0.0,0.0,0.0,1.0,0.0,0.0,53.0,0.0,25.0,24.0,24.0,64.0,76.0,63.0,24.0,19.0,9.0,0.0,23.0,26.0,12.0,20.0,5.0,9.0,0.0,24.0,0.0,26.0,0.0,0.0,0.0,13.0,21.0,19.0,22.0,24.0
1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.220143885,0.001438849,0.185185185,0.2,1.0,0.0,6.0,1.0,0.0,4.36568241,0.0,0.0,0.0,1.0,0.0,0.0,54.0,0.0,25.0,24.0,23.0,64.0,76.0,63.0,25.0,19.0,9.0,0.0,25.0,26.0,15.0,20.0,20.0,9.0,0.0,25.0,0.0,26.0,0.0,0.0,0.0,24.0,23.0,19.0,22.0,23.0
0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.221264368,0.001436782,0.169354839,0.0,1.0,1.0,6.0,3.0,0.0,3.674692026,0.0,0.0,0.0,1.0,0.0,0.0,124.0,0.0,25.0,25.0,25.0,65.0,76.0,63.0,25.0,19.0,9.0,0.0,23.0,26.0,20.0,21.0,4.0,9.0,0.0,25.0,0.0,26.0,0.0,0.0,0.0,23.0,16.0,19.0,22.0,19.0
0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.220946915,0.00143472,0.168,0.0,1.0,0.0,6.0,2.0,1.0,5.995360306,0.0,1.0,0.0,0.0,1.0,1.0,125.0,0.0,25.0,15.0,25.0,64.0,76.0,63.0,25.0,19.0,8.0,0.0,25.0,26.0,21.0,20.0,24.0,8.0,0.0,24.0,0.0,26.0,0.0,0.0,0.0,6.0,23.0,19.0,22.0,24.0
0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.220314735,0.001430615,0.2,0.2,1.0,0.0,6.0,2.0,0.0,4.228142579,0.0,1.0,0.0,1.0,0.0,0.0,55.0,0.0,25.0,22.0,21.0,64.0,76.0,63.0,25.0,19.0,5.0,0.0,23.0,26.0,24.0,20.0,7.0,9.0,0.0,24.0,0.0,26.0,0.0,0.0,0.0,22.0,17.0,19.0,22.0,16.0
